lat,lon,year,temperature_mean,salinity_mean,env_records,larvae_10m2_mean,larvae_10m2_sum,larvae_records
32.100000,-120.600000,2009,14.049590,33.287054,9,64.628540,1938.856205,30
32.200000,-119.800000,2009,14.068693,33.339505,3,86.976937,608.838562,7
32.200000,-118.900000,2009,17.644683,33.616985,5,12.044847,277.031477,23
32.300000,-119.400000,2009,13.505689,33.433605,5,43.968889,395.720000,9
32.700000,-117.900000,2009,18.443256,33.562623,28,10.281154,267.310000,26
32.800000,-117.500000,2009,16.943745,33.452570,29,29.403227,617.467757,21
32.100000,-120.600000,2011,14.499202,33.153285,5,45.989253,1287.699078,28
32.700000,-117.900000,2011,16.335637,33.399873,10,18.496920,351.441482,19
32.800000,-117.500000,2011,18.010710,33.486365,5,36.714014,697.566262,19
32.100000,-120.600000,2012,14.713859,33.388211,5,13.113376,236.040773,18
32.200000,-118.900000,2012,18.607313,33.624750,3,32.587632,945.041330,29
32.300000,-118.600000,2012,19.644041,33.686265,5,29.370191,440.552859,15
32.400000,-120.000000,2012,18.273909,33.607364,1,48.487830,1309.171422,27
32.700000,-117.900000,2012,14.933258,33.325592,2,15.885027,349.470590,22
32.800000,-117.500000,2012,15.716667,33.463125,2,44.224935,1724.772457,39
32.900000,-117.400000,2012,17.933490,33.440186,16,77.959055,3040.403126,39
33.000000,-120.400000,2012,18.031538,33.606692,1,68.809604,1720.240101,25
33.300000,-120.600000,2012,17.023830,33.589802,3,37.576878,375.768785,10
33.600000,-120.800000,2012,16.917630,33.570191,7,42.925887,987.295410,23
34.100000,-120.200000,2012,14.076389,33.487797,14,468.360000,468.360000,1
34.300000,-120.800000,2012,15.821719,33.472650,94,104.771241,6076.731968,58
32.100000,-119.800000,2013,16.666126,33.565890,9,16.398602,180.384617,11
32.400000,-118.600000,2013,16.649797,33.543698,14,42.897273,471.870000,11
32.800000,-117.700000,2013,17.769210,33.605204,10,30.841444,400.938769,13
32.900000,-117.400000,2013,16.011596,33.531395,32,28.045214,981.582498,35
32.900000,-117.300000,2013,14.828897,33.514095,62,8.499456,25.498367,3
34.200000,-120.200000,2013,14.280484,33.553465,8,50.361093,352.527650,7
34.300000,-120.800000,2013,13.410741,33.625116,113,68.871376,3236.954660,47
34.300000,-120.100000,2013,16.226714,33.575470,15,61.677083,370.062500,6
34.300000,-120.000000,2013,14.457221,33.594110,8,94.758663,5969.795768,63
34.400000,-120.500000,2013,12.084504,33.694881,107,83.634402,1839.956842,22
34.400000,-119.900000,2013,12.465393,33.600337,5,47.624935,285.749609,6
32.700000,-117.900000,2014,15.780965,33.542693,5,60.824038,1642.249024,27
32.800000,-117.500000,2014,15.862083,33.547750,1,64.428280,3543.555394,55
32.900000,-117.400000,2014,16.002498,33.515275,42,48.650063,1702.752214,35
34.300000,-120.800000,2014,15.700895,33.454117,149,51.130196,1789.556858,35
34.300000,-120.000000,2014,15.641516,33.527962,8,54.518272,1962.657796,36
34.300000,-119.800000,2014,15.313481,33.519685,30,79.650111,557.550775,7
34.400000,-120.600000,2014,14.314004,33.492327,155,56.465384,225.861538,4
34.400000,-120.500000,2014,13.650645,33.522474,31,45.026600,1620.957595,36
32.900000,-117.400000,2015,20.009653,33.368156,12,40.253333,1086.840000,27
34.200000,-120.400000,2015,15.811905,33.389266,11,14.430770,144.307695,10
34.300000,-121.000000,2015,17.034193,33.278523,4,14.278846,57.115385,4
34.300000,-120.800000,2015,15.578532,33.351144,595,74.028156,4219.604894,57
34.300000,-120.000000,2015,16.388925,33.352285,15,50.875000,2340.250000,46
34.400000,-120.500000,2015,16.053584,33.340638,19,46.790625,1497.300000,32
32.900000,-117.500000,2016,18.669891,33.425586,24,8.580000,42.900000,5
32.900000,-117.400000,2016,17.835755,33.441508,44,24.660000,591.840000,24
32.900000,-117.300000,2016,16.410074,33.369273,27,2.853333,8.560000,3
34.200000,-120.100000,2016,15.209969,33.422004,9,31.374286,658.860000,21
34.300000,-120.800000,2016,14.469641,33.397937,697,106.472000,2661.800000,25
34.300000,-120.000000,2016,16.058121,33.506248,5,52.324500,1046.490000,20
34.400000,-120.500000,2016,15.503881,33.504208,17,383.333340,383.333340,1
34.400000,-120.400000,2016,15.215665,33.504359,11,89.892143,1258.490000,14
34.400000,-120.300000,2016,14.950900,33.515100,1,76.895000,615.160000,8
34.200000,-120.000000,2017,17.998703,33.406626,7,206.820000,206.820000,1
34.300000,-120.800000,2017,14.363478,33.420876,568,72.919542,2041.747174,28
34.300000,-120.000000,2017,15.153386,33.357237,10,68.589545,1508.970000,22
34.400000,-120.500000,2017,15.100197,33.374626,15,12.780000,166.140000,13
34.300000,-120.800000,2018,14.638075,33.567619,558,115.217982,2073.923670,18
34.300000,-120.000000,2018,15.283928,33.638841,15,101.084930,1314.104091,13
34.400000,-120.500000,2018,14.131943,33.627456,108,117.435417,2818.450000,24
34.400000,-119.800000,2018,11.997700,33.751900,2,3.060000,21.420000,7
34.300000,-120.800000,2019,14.496493,33.536608,568,145.744768,3206.384907,22
34.300000,-120.000000,2019,14.103097,33.672148,9,76.942375,1692.732250,22
34.400000,-120.500000,2019,12.662981,33.621911,85,4.502857,31.520000,7
34.300000,-120.800000,2020,14.374415,33.560842,616,130.177143,911.240000,7
34.300000,-120.000000,2020,15.570157,33.617697,22,59.350909,652.860000,11
34.400000,-120.500000,2020,12.824665,33.632841,71,11.550000,69.300000,6
34.300000,-120.800000,2021,13.903002,33.531428,650,25.355555,380.333331,15
34.300000,-120.000000,2021,13.439941,33.630893,6,31.624256,442.739585,14
34.500000,-120.500000,2021,14.282280,33.477434,14,22.767857,318.750000,14
34.300000,-120.800000,2022,13.844679,33.482434,539,124.084000,620.420000,5
34.300000,-120.000000,2022,12.111930,33.856787,25,213.000000,2130.000000,10
34.400000,-120.500000,2022,14.198538,33.467934,93,28.411875,312.530620,11
34.300000,-120.800000,2023,13.680335,33.225568,57,50.112500,400.900000,8
34.300000,-120.000000,2023,13.608229,33.332808,5,120.557143,843.900000,7
